date,cleaned_user_name,cleaned_content,cleaned_title,rating
2025-10-09 20:08:36-07:00,edijcn,wont create food load 20 minute,create food,1
2025-10-04 05:20:58-07:00,aly tely,tried sign didnt let im 10 whack im never downloading app ever also review negative,horrible,1
2025-09-30 12:43:03-07:00,nycs trainutt,free version good tracking snack water meal easy input function plenty item various library category restaurant item well little less buy premium popping every time touch crown would nice app free setting option 24 hour clock instead ampm would terrific easy use friendly formatted app,great meal tracker,5
2025-09-23 04:44:33-07:00,recipe lover,paid around 100 lifetime membership lost,expensive membership lost,1
2025-09-22 18:28:30-07:00,zaronology,macro wrong food input entire thing wouldnt pain apps apps typically let copy information adjust need record one submit information picture absolutely ridiculous inconvenient waste much time use app basic apps suit much better youre actually daily basis thought app would give report thing would benefit wrong user experience app clunky time consuming intuitive honestly dont understand app good rating unless audience never used different type app none perfect perfect make easy make adjustment without wait day update food get idea youre really consuming people may take diet perhaps since im putting effort anyway wanna know proper calorie make estimate waste time manual input data accurate,macro wrong often,2
2025-09-19 20:29:25-07:00,cupcake rainbow girl 18,downloading app inputting info sudden put age message pop saying cant continue use fooducate issue app store say 17 im 17 almost 18 put birthday correctly tried swiping app tried redownloading restarting phone sure issue,wouldnt let use,1
2025-09-16 15:30:52-07:00,beware app isnt great,charged right away didnt get 7 day free trial,dont count free trial,1
2025-08-29 07:25:14-07:00,duhvhhb,app wont let send email want add product scanning,add new product,1
2025-08-19 22:42:19-07:00,sadiekay14,update 81925this issue remains unresolved total waste money app total waste time customer service solution update 42825 recent email customer service sent today hello ive left negative review guy week ago waiting response week solve technical problem use app since taking waaaaaay long want refund immediately asked 13th response 28th going continue updating negative review app store someone responds provides refund41225 ive literally waiting three week customer service fix error message popping saying im connected network incorrect wont let log app repurchased app couple month ago im gonna finding another one requesting refund dont get refund ill update review,customer service non responsive cant open app 6 week,1
2025-08-17 10:27:24-07:00,vivicooks,good website however food logged useradded qrcode scanner doesnt really work,worked big catalog,4
2025-08-12 15:05:11-07:00,hdsg2016,database full error reported still havent updated,accurate,2
2025-08-05 08:16:15-07:00,listentoughguy,everything behind paywall useless without paying worth cost basic function available apps available food rating arbitrary based true science use samsung health insteadedit response generic meaningless couldnt even bothered write real response,dont download,1
2025-08-05 06:11:50-07:00,toppingj,ive using fooducate year 3 day ago sudden connect cant access account keep asking try reached support update review respond id say dont bother downloading app storeupdate 202508app working seems vpn built iphone causing issue im sure feel app knowing work vpn disabled im glad app work also feel like expense personal device security safety im sure 3 year issue,used great,3
2025-07-31 10:03:20-07:00,follow reach record,app feature could want missing restraint food item tough overcome also nutrition scoring frustrating nutrition coach would say less sugar fairlife protein drink better premier protein fairlife c premier b confusing score value well tried submit feedback app app also didnt let complete process said needed set email already account,great start,3
2025-07-24 12:10:10-07:00,unidirectional velocity,app great potential taking away vast part market share however come adding missing nutritional information many various food item missing database extremely frustrating ask send photo nutritional label via email addressed later time someone else day addressed immediately via ai tool implemented right within app immediately extract necessary nutritional information right user photo nutrition label instantaneously reflected realtime basis please get trend keep app capable otherwise new contender literally turn app completely irrelevant one use period,infinite potential completely missing core element,1
2025-07-23 10:31:16-07:00,rsunka,food database seems limited add manually pick listthe ui pretty clunky overall could use overhaul make slick modern,good app need work,3
2025-07-14 15:03:56-07:00,lou riolo,got said free dont waste time unless wanna pay,free,1
2025-07-05 10:32:44-07:00,vega dave 1,fooducates excellent food library scanner counter coupled small food weighing scale determination need success,exceptional guidance,5
2025-07-01 16:20:33-07:00,jody1612,nice able keep track eat order control habit however dont always get enter ate end day app seem let change time ate item everything eat day get entered ate 700pm,bad,4
2025-07-01 10:17:19-07:00,horrible upgrade,app cant find food consistent basis half time cant find grocery tab waste time fitness pal far better app,horrible app,1
2025-06-25 12:01:03-07:00,yaslicious,app used great stopped using started using keep saying network error make sure connected wifi cellular service problem always use vpn hate make lot harder track u spy u many unscrupulous company dont know one claim dont allow vpns security concern load know vpns increase online security encrypting online traffic keep telling people use vpn using public unsecured internet connection wifi connection market store coffee house airport bus terminal also interferes company ability tracking device tracking selling personal information mean less money greedy developer,like spy,1
2025-06-19 18:49:23-07:00,cdsal99,really buggy cant use,update app please thank,1
2025-06-19 06:31:21-07:00,nickainohio,food included use app handicapped,half good app,2
2025-06-18 06:16:49-07:00,terribleshy,app never synched sent support email right away one ever responded still charged,glitchy customer service,2
2025-06-14 06:29:43-07:00,tenerbeaner,good app wish would give option take pic plate scan home made food get better idea calorie portion save meal current meal label doesnt enough character list food plate,good app,4
2025-05-28 18:02:34-07:00,micahadair,checked apple account charged 35 app sure downloaded month ago used since didnt find helpful beware get info use yr subscription cancelled eating pun intended 35 nothing,dont get taken,1
2025-05-18 05:40:52-07:00,quentin8909,lacking charge macro analysis incomplete andor inaccurate information take month implement information provide product dont,lacking,1
2025-05-17 09:37:32-07:00,jamel11234,isnt time ai capability need take picture food instead barcodes,time upgrade,2
2025-05-07 07:08:50-07:00,bandobear919,downloaded alternative myfitnesspal app done make feel bad dont get feeling app paid version food scanner free super easy create food item one issue far record calorie burned starting workout watch ie lifting going walk doesnt transfer move calorie,great app need minor tweak,4
2025-04-21 05:30:13-07:00,camarodimasi,dont often leave review app made mad completely free register card charged dont need credit card information,didnt even get,1
2025-04-19 15:40:39-07:00,hornnic,redownloaded year guess got bought giant company sad see app covered ad trying push towards premium plan shame looking elsewhere food tracking apps,ad infested,1
2025-04-13 17:02:35-07:00,coco030815,worth paid version food scan show try send email picture email work leaving inability add key food eat everyday paid full year plan request refund since cant use app fully,great concept fully executed,3
2025-04-07 10:10:08-07:00,hmh5432,way company look past lifetime subscription purchase app reset,honor lifetime subscription purchase,1
2025-04-03 09:51:04-07:00,doolittleh,tried free trial didnt like app canceled selecting weekly charge still charged full year subscription 3499 unacceptable dont bother app,scam,1
2025-03-24 18:32:24-07:00,hgfjjdgjknctyb,recent update added feature share activity 3rd party appsflyersdk unfortunate app awesome sends data 3rd party,background activity tracking sharing activity 3rd party,2
2025-03-22 17:27:21-07:00,bsinj,useless cannot read apple barcode,first experience,1
2025-03-15 20:40:27-07:00,cghtgtcgtchyhy,really love use app im trying serious tracking diet exercise,easy use easy read,5
2025-03-14 19:08:27-07:00,truthtellerbtellin,downloaded app showed feature ad allows interface chronometer also tool like intermittent fasting tool doesnt integrate apple watchcant decide whether keep,chronometer cuter however,4
2025-03-12 11:47:40-07:00,colecurtis,tried using cant find product use accurate counting im eating,waste time,1
2025-03-09 10:13:08-07:00,evecam16,e spam lo descarguen,cuidado e spam,1
2025-03-08 19:35:40-07:00,michelle scrimpsher,half feature hidden behind ad game cant deleted ap useless,frustrating,1
2025-03-06 18:38:11-07:00,shutupntrack,cannot cancel thus terrible,fooducate,5
2025-03-04 08:49:12-07:00,deewade,great getting good idea healthy item thing take barcode scan there info digestible pun intended layoutamazing easy keep track caloriesnutrition dietary need throughout dayi worried id need drop 999 month whatever use keeping track snack food drink usually easy scanning barcode searching food adding list eaten item day,great even without premium version,5
2025-03-03 07:06:53-07:00,mschyd,ive using app since 2011 need create account subscribe loyalty faithful long time user never created account wasnt necessary back find two email sent requesting add food database 2011 2014 feel grandfathered something since ive using long ill look another similar app thats affordable,using since 2011 need subscribe,1
2025-02-22 04:43:23-07:00,jtninetynine,like app wish dark mode,dark mode,4
2025-02-20 12:08:10-07:00,ijasso76,claim get free trial charge full year request cancellation right scam deny,scam,1
2025-02-14 08:13:55-07:00,annoyedafgd,dont try tricky privacy setting ambiguous toggle switch,app privacy setting,1
2025-02-13 13:16:17-07:00,vegasroach,would absolutely use app macro paywalled apps show daily macro free thats enough keep using old app changed would swap fooducate immediately,look good macro behind paywall,3
2025-02-05 12:59:47-07:00,tgarciabates,download app tell age app meant say 17 17 longer let access app ridiculous,age,1
2025-02-05 07:05:19-07:00,,food scoring system rate ultraprocessed chocolate ice cream green b take bias food scoring system,keep accountable flawed food scoring system,1
2025-02-02 01:11:41-07:00,jane doe esquire,using paid version fooducate daily basis since april 2024 permission read weight exercise apps automatically adjust daily target calorie based provided weight target weekly target loss maintenance gain set profile app simple automatic calculation many calorie eat real time great soon exercise effort recorded smart watch health app read fooducate know many calorie earned calculation point counting needed similarly soon weigh weight recorded smart scale health app read fooducate daily target calorie automatically adjusted trying get healthy eating also incentivizes better lost weight using fooducate become key tool healthy transformation toolbox,great accountability,5
2025-01-13 04:44:50-07:00,izchik,used app two week started notice within 15 second app open phone would get really hot dont know meant app unsafe malwaremining background app need development either way uninstalled otherwise enjoyed using app took day two get hang wanted app could hold accountable food intake food rating average rating day bonus,overheated phone,4
2025-01-05 07:33:09-07:00,wendyparker0472,app helpful however way delete recipe created feature need added,ability delete recipe,3
2024-12-28 12:21:08-07:00,ashishbit,trial forget cancel force full year membership,forced subscription trial,1
2024-12-22 13:12:13-07:00,whalenutz198st,app feel extremely dated database food limited submitted many product use apps calorie counter hope better,data base lacking,3
2024-12-13 13:20:57-07:00,badkitty,gave another shot time used apple create account avoid giving personal information fyi app nearly useful website could find anywhere search food stick using websiteoriginal reviewlike website hate appi downloaded app like website app immediately began prompting personal information height weight age etc fill information clicked word skip even though clicked skip still filled personal information obtained somewhere without permission information accurate appeared coming apple health app even though granted app access health appi discovered forced create account view nutritional information food decided immediately stop using app guess developer felt like although good thing going website use app collect much personal data possible even people intention using app track calorie,fooducate website useful app use website instead,1
2024-12-11 03:50:31-07:00,rctii42,dont bother app ready launch turn enter whole meal,crash every 30 second,1
2024-12-04 14:37:20-07:00,mypotatoishot,bought app long ago immediately regret use one othersthe app close every single entry mean enter 1 slice chicken close go back enter 1 apple close outi sent support ticket told werent going anything enough others sending support ticket even community discussion page many people complaining issuelets forget search function antiquated nice like functionality hasnt updated year,save annoyance,1
2024-12-04 07:11:47-07:00,dinofuel,fooducate app crash adding food item iphone deleted app reinstalled resolve issue,fooducate app crash adding food item,1
2024-12-03 14:53:24-07:00,nolag,paid subscriber several year appreciate app term simplifying understanding eating always accurate grade thats okay began using app tracking food macro micro nutrient loved last io update app began crashing nearly every time input item thats 3050 crash day time im wasting switch apps cancel subscription issue isnt resolved,paid subscriber tired crashing app,1
2024-12-02 21:44:15-07:00,jteblum1,every time add food item meal kick app aside app pretty good like go majority nutrition like vitamin potassium calcium sugar etc except dont like getting popup ad even im paid version please fix refund thank,keep kicking app,1
2024-12-02 18:41:30-07:00,sarena4star,somewhat glitchy shuts every time log would better could click grade nutrient analysis see food contributed know food lighten one much salt etc,almost,3
2024-12-01 11:55:03-07:00,missfortunate34,love app helpful however there recently bug make app crash every time add food search bar scan add food doesnt crash wanted bring attention,bug need fixed,3
2024-11-30 17:14:31-07:00,dennisthepennis,like app easy use however keep crashing every time add food item please fix,keep crashing,1
2024-11-30 16:13:26-07:00,krstratton,worked wonderful recent io update exit every time track food uninstalling reinstalling didnt help either,great update,3
2024-11-28 20:24:48-07:00,twillam,please fix app keep crashing using cant even add food item without crashing right middle,app issue,2
2024-11-27 04:19:42-07:00,jenkinswallus,every time enter food item app close automatically annoying reopen app 5 time enter 5 thing,crash,1
2024-11-26 05:36:57-07:00,bill28226,app close whenever add food,fix app,1
2024-11-22 11:51:53-07:00,schulenburg,hit done entering sleep food app shuts instead getting back daily diary,app problem,4
2024-11-20 19:33:56-07:00,amityjay,app crash every time try enter food would love give five star rating fixed cause otherwise app great,app crash,1
2024-11-18 05:18:58-07:00,colorful thats,many item system try eat healthy item theyre time,food program,1
2024-11-17 10:02:14-07:00,mommaporter,work great work lately glitch fixed yet,work great weight loss,4
2024-11-15 18:15:35-07:00,jlagnese,ive problem apple health updating fooducate put support ticket get worse hasnt updated 6 day cant figure wont guess there something wrong database,dont fix,1
2024-11-12 05:04:04-07:00,tinagail42,used excellent app crash every time enter food looking app feature doesnt crash,crash,3
2024-11-06 16:34:26-07:00,sixftgal,hard use useful help feature many food choice missing completely missing nutritional information detail user added item dont know exist receiving motivational message sure paying,big disappointment,1
2024-11-02 07:41:26-07:00,hazmat616,whenever try send new product information say need configure email setting email use log there nothing set setting cant,cant configure email,2
2024-10-24 12:47:03-07:00,sarahsedaii,cant add new food database sorely lacking homemade meal,waste money,1
2024-10-23 17:02:53-07:00,somenerdyblonde,really like using food log help improve eating habit wide range food already loaded useful feature like upc scanning little insistent wanting buy subscription show feature use premium basic feature pretty alright wish grade system like traffic light wouldnt feel like failure food f side note diet soda frequently huge game changer drinking calorie would helpful encourage moderation low grade food rather declare chocolate whole bad thoroughly enjoying one serving ice cream help keep motivated rest diet life general,useful tool,4
2024-10-07 16:18:45-07:00,chillie,love app make accountable im putting food body renewed subscription year im going go lifetime subscription dont know didnt time use making sure fat cholesterol check also added sugar course protein fiber main thing like im discovering time discovering eating habit,definitely keep accountable,5
2024-10-03 09:51:04-07:00,swiftfang9303,ive today seems good far glitch every time add food u ate glitch u happens every single time get kinda annoying im iphone 14 pro io 18,pretty good far,4
2024-10-01 13:04:15-07:00,5hania,downloaded many apps one one worth keeping,worth,5
2024-09-30 19:33:04-07:00,youngnstrong,brought yearly subscription february 2024 week ago account logged problem logged back however profile missing save meal past log importantly subscription trying get another subscription even though still active one tried contact wont let bc say there email address associated account even though one saved profile dont waste money look elsewhere better app,user friendly,1
2024-09-20 09:39:16-07:00,dreamon1122,app free although advertised free,free,1
2024-09-14 07:35:59-07:00,leskape,app acknowledges track contact info identifier doesnt even show list apps iphone control limit tracking isnt even recognized existing phone know delete fully deleted ive deleted going use backup revert installed app completely wrong,privacy invasion apple even control tracking,1
2024-09-13 08:41:14-07:00,cheap chuck,love new feature app stopped working latest update hope fix issue quickly since track meal intake daily,app working update,1
2024-09-13 04:09:36-07:00,lisaf1163,way better myfitnesspal noom easier use workout reasonable amount calorie weight loss health need plus there food want log thats database add guesstimate another food thats similar plus much better priced,better apps,5
2024-09-12 23:04:52-07:00,pahoa girl,thought app would allow track physical activity seems movement part formula good health food intake think keep looking app includes,somethings missing,4
2024-09-12 11:55:05-07:00,vcu ghgchgc c h hcv gi,sigma,sigma,5
2024-09-11 12:02:11-07:00,drd drd,good app tech flaw ex contact u literally impossible inside app assume intentionally unless fix obvious underhanded error,need work,3
2024-09-10 17:23:45-07:00,katty hn,would nice option free space like connect health watch app,,3
2024-09-05 18:56:26-07:00,tleyva2021,told negative review posting five star first paying app ingredient pull dog cat food wish could post pic pay money app,fooducate,5
