date,cleaned_user_name,cleaned_content,cleaned_title,rating
2025-10-03 22:04:29-07:00,calix2000,use able set calorie budget want pay feature deleted went another app allows free functionality sad cause like app oh wellplus refuse subscribe app take apple pay dont except payment directly app store wont get money simply trust anyone,better,1
2025-10-03 17:07:14-07:00,bunit7,got app reluctantly using fitness pal year ago went back expensive app cheap easy use also logging workout new food breeze well worth 40 lb less 100 day,best affordable app,5
2025-10-03 09:22:22-07:00,another chris b,scanning barcodes easy entry used free ive even contributed nutrition information food ive purchased hurt take feature contributed data put behind paywall,taking feature away,2
2025-10-03 08:31:27-07:00,ruskie66,lost 70lbs app honest patient happen,work,5
2025-10-03 00:22:01-07:00,alim1,good app relatively easy use also track linked exercise activity decent idea calorie inoutthe odd thing ive using 3 month consistently target week goal keep getting pushed back dont think im ever going reach goal rate,decent one flaw,4
2025-10-02 21:42:59-07:00,maddiethebaddieeeee,recently started like way work like im consistently able track calorie good whether youre trying lose lot weight trying mindful calorie youre consuming every day would pretty much anyone,absolutely amazing,5
2025-10-02 20:14:10-07:00,chubbykoalaz,ive lost 23lbs month thanks lose tracking macro really helped,weightloss,5
2025-10-02 13:15:59-07:00,kincaidsea,ive using app probably five year really enjoyed recently recent change app disconnected fitbit unless pray premium theyre forcing commercial app theyre using fake popups look like theyre going back phone desktop irritates would recommend change hope change back,1025 horrible changed,1
2025-10-02 11:15:31-07:00,luhbun,app helped much,u,5
2025-10-01 19:02:04-07:00,coolkidontheinternet,first remove free scanning feature removed feature track food next day,payed feature,3
2025-10-01 10:51:03-07:00,old eye audiobooks,didnt realize problem till started tracking food intake especially fruitssugars,love,5
2025-10-01 07:42:43-07:00,savleigh96,love app totally userfriendly also intuitive make calorie counting honeslty kind fun rather huge chore love food usergenerated hardly ever add new food unless maybe homemade recipe love link apple health make tracking macro incredibly easy cannot recommend enough,app make difference tracking,5
2025-10-01 05:04:48-07:00,cpete420,great app thats really helped stay accountable dont realize youre eating daily track would love see little available free get would overall cheap worth buy subscription depends fitnesshealth level,helped weight loss,4
2025-10-01 04:27:48-07:00,divamomcarole,journey lose app best tool ive found keep tracking every meal qr scan code feature amazing,slow steady,5
2025-10-01 01:51:24-07:00,troubodor,eliminate food list,question,4
2025-09-30 14:13:14-07:00,andy aguilar,pay scan ive app long decide need pay scan unbelievable,pay scan,2
2025-09-30 10:19:53-07:00,raquiraqoon,lifetime premium member overall love app added net positive life weight management pcos said started allowing pop ad default glp1 found turn setting unsure non premium user turn seems like gross predatory practice advertising glp1s calorie tracking app people use apps like weightloss also weight gain advertising glp1 doctor know user using app seems irresponsible ive never fan medical advertising general seems even like conflict interest advertising app,stop advertising glp1,4
2025-09-30 09:43:27-07:00,brandonbochicchio1,easy use log daily intake,great app,5
2025-09-30 07:52:26-07:00,bella3941,love ad every single item ad app otherwise run,love ad,1
2025-09-30 06:01:28-07:00,megn444,app helped stay track im mindful eat ive working like seeing macro number scale go used fitness pal year didnt like much lose paid permanent premium love monthly bill annual bill easy use,im day 250,5
2025-09-30 05:57:15-07:00,bobm2,needed way log meal daily weight app certainly dont get confused like buying swiss army knife knife 23 musthave tool instead two dozen tool bulk probably really needed problem ui confusing least easy drill basic weight tool log weight log meal add new portion description enable rapid 2 three simple top level task buried app task menu choicesif simple way three task wanted id give 5 star feel like buying say hummer drive 5 mile church shopping every day,tim toolman weight apps,3
2025-09-29 21:22:48-07:00,chriscddo,signed 1 year membership app asked wanted upgrade lifetime promise reimburse money yearly fee didnt contacted im given runaround refund year subscription given option upgrade wait year subscription give chance see app able claim doalso apps able use picture take food identify food calculate portion size even come ethnic food name even restaurant brand one rarely gotten food right far couldnt even figure applebees southwest chicken bowl type also user friendly one ive used,aware dont upgrade lifetime membership app lacking food identification technology,1
2025-09-29 10:44:57-07:00,helphelp,scanner doesnt work black screen error,glitchy,1
2025-09-29 09:47:05-07:00,taylorrmendezz,came lose feeling totally fulfilled mfp lose everything could want user friendly massive database boast lot cool feature one fav feature recipe feature create recipe app assign number serving recipe log single serving recipe mealany day eat really take guess work tracking also cool little weight comparison weight loss milestone ive lost weight bass guitar far fun recommend havent felt control happy method weight loss ever,best tracking app,5
2025-09-28 23:05:16-07:00,illfatedog,helping get goal,simple,5
2025-09-28 19:31:16-07:00,securitymonster,far favorite app calorie counting dashboard easy setup customize keep eye macro easilylogging food simple huge database search scanning barcode building meal recipe even adding item newalso love im able easily add item ive already eatenive tried calorie counting apps one simplest along best dashboardthey also lifetime membership fairly economical plan use long term,best calorie app,5
2025-09-28 15:08:30-07:00,32bfit,app say remind free trial end charge entire year scam beware dont sign,dont,1
2025-09-28 11:38:09-07:00,stlinnz,love everything app,favorite app,5
2025-09-28 11:09:02-07:00,akaskitch,updated app still pop advertisement premium version stop itim premium user im interested mochi health decline ad pushing every day im really regretting premium membership right stop,stop,1
2025-09-28 09:07:24-07:00,shrspitt,love much lost 28 pound 3 month log everything eat weight loss program done dont count calorie give zero point fruit vegetable misleading love fruit calorie eat grape usually consume 140 calorie thats ok document also eye opening see beneficial exercise make think twice eat type food walking 3 mile 34 speed elevation 5 usually burn 250 calorie way im going eat cupcake basically lose reward gained hour work snack become lot less appealing accountability screen also 40 per year thats doable app literally life changing highly recommend,amazing tool,5
2025-09-28 06:35:15-07:00,rf1005,cant add ingredient recipe app click add food taken recipe list hard use recipe necessity,cant add ingredient recipe,1
2025-09-28 04:15:57-07:00,kturany,app userfriendly every single diet listed youve ever attempted using lose allows make better choice really see many calorie certain item,love app,5
2025-09-28 02:42:27-07:00,therealladyshine,drawback intermittent fasting option dont allow personalisation frequently practice 3648 hour fast use another app would nice one place,useful app,3
2025-09-26 21:56:46-07:00,diddler1234,free case thats looking,,3
2025-09-26 12:37:50-07:00,jayber crow,using lose month paid annual promotional annual subscription app locked mistakenly bought premium version frustrating would started another calorie counter start id seen coming,deceptive promotion premium,2
2025-09-26 07:58:07-07:00,oopchuck,ive app long time really like however paid premium remove ad since theyve added pop ad thing like ozempic really dont appreciate premium ad period,ad premium,2
2025-09-26 06:55:41-07:00,sun palm,using app year track weight loss journey recent app update barcode scan feature longer free must upgrade premium subscription convenient tool didnt manually input nutrition factsimmediately deleted account app look elsewhere,barcode scan feature longer free,1
