id,date,user_name,rating,title,content
13220710820,2025-10-03 20:12:34-07:00,bigpapi34!,5,mynetdiary,great app!
13220597305,2025-10-03 19:29:56-07:00,becky frondske,5,awesome,this is the best app for fat loss. i love being able to import recipes and track calories so easily.
13220538136,2025-10-03 19:08:22-07:00,barrick5,1,app no longer working,"not sure if it’s due to ios 26, but app freezes every time you choose one option. this started two ago. worked perfect before that. the app worked fine during the ios 26 beta."
13220114150,2025-10-03 16:30:05-07:00,marsgirliepop,5,i love,i use this to track my calories it’s super easy !
13217639546,2025-10-03 04:14:44-07:00,flourtown,3,good but constant push to upgrade,i like the calorie counting. i hate the constant intrusion to try to force upgrade to premium
13216625720,2025-10-02 22:07:04-07:00,nadiaalj,5,love,extremely helpful and insightful. gives you so many options and details!
13214250676,2025-10-02 08:47:05-07:00,twinklepuffluff,5,want to lose weight? it works,"losing weight is hard, and for many people, i think that navigating diet is difficult. knowing what to eat and what not to eat is one thing, but actually maintaining a calorie deficit for weight loss is another. i’ve used this app on and off for years, and while my dedication to weight loss waxes and wanes, every time i want to lose, this app produces results."
13213887391,2025-10-02 07:16:05-07:00,westbury19,5,the big compare,i logged my daily meal (including snacks) progress and exercise into 3 different calorie tracking programs and decided that mynetdiary best meets my needs and intuition.
13210455777,2025-10-01 11:50:24-07:00,tbaaaa..,1,needs to re-evaluate policy,"the app itself is amazing, simple to use, and includes every food under the sun. my problem is that i'm skinny fat, so even when i reached my target weight, i still had a massive belly. i tried to reduce my weight goal further, but was prevented from doing so because my bmi was classified as ""underweight."" this would be a good safety feature, except bmi does not take into account proportions of fat or muscle, and also varies by ethnicity. restricting weight loss goals based on bmi being under or over weight is ridiculous. i urge the devs to get rid of this restriction. the app was useless to me after this and i had to switch to a competitor. fix this! for south asians, for example, lean mass is much lower and fat proportion is much higher. this means they can look thinner and be a lower weight than normal and still be healthy, but they have to reach lower bmis and weights overall than are typically regarded as ""safe"" to lose the same level of fat as europeans, because the system is based on european average body types."
13205262062,2025-09-30 08:52:56-07:00,jajsnsksmsjdn,1,beware of predators,it’s full of old men trying to find a soul mate on a food app
13202788937,2025-09-29 19:11:52-07:00,sweetdish71,5,a must have,i don’t go a day without this app.  keeps me in check.
13201255643,2025-09-29 10:19:44-07:00,nwt lover,1,freezing up,my app keeps freezing up today and won’t let me add food. please fix
13200966163,2025-09-29 09:00:13-07:00,benefitted bountifully,3,tutorial?,there’s so much here that it would be great if i could find a tutorial
13200855022,2025-09-29 08:30:42-07:00,lauramac321,5,comprehensive tracking,this app has bits and pieces of every app i’ve ever liked rolled into a tracking app that i absolutely love. i used to enter my info into 3 different apps to get everything i wanted. with mynetdiary it is no longer necessary because everything you need is right there! love this app!
13197356911,2025-09-28 11:56:56-07:00,lfdobran,5,my diary,the app is extremely easy and excellent.  i love it.
13197301038,2025-09-28 11:40:46-07:00,lenraphael,5,impressive,"interface is most efficient of any of the several diet apps. i’ve used over the years. it makes it really easy to edit existing foods so you don’t have to create one from scratch also. i don’t use the ai feature much i mostly use scanning and creating my own foods. i pay some attention to what it calculates my projects, but mostly i use it to track calories and nutrients of which it does an amazingly good job plus, i can send the information to my weight management doc"
13194084836,2025-09-27 18:50:59-07:00,karly james,4,free version is frustrating,i am surprised that my health app doesn’t already have this feature built in.. the adds are frustrating with the free version.
13192467627,2025-09-27 09:42:07-07:00,ccbg77,1,nope,it costs!!
13192399982,2025-09-27 09:24:28-07:00,peppygothchick,4,good app! doesn’t hide basic features behind a paywall,"i’ve been using this app for a few weeks now and i like it! the basic functional features are all free (which i appreciate and is not always the case, i’m looking at you myfitnesspal). after a bit, i ended up paying for premium which gets you recipes and menus because i was struggling with planning. the recipes are generally great! the only recipes that have been a little iffy so far have been the more “ethnic” recipes. one place for improvement would be to definitely consult someone to help make sure the recipes use correct spices and such. for example, i made an indian curry that called for siracha sauce. that is simply not supposed to be in there. other than that, i’ve already started seeing results! i will be updating this review at the projected date i’ll reach my goal"
13189945474,2025-09-26 20:29:22-07:00,b balz,5,absolutely love this app,overall i have used tons of these tracking apps and this is by far the best one. it’s so easy to use and i just love the user interface. also all the other apps are not truly free and you cant really use the app unless you pay for it. this app you can use it totally free without needing to pay for it.
13187152795,2025-09-26 05:50:26-07:00,bellouki zouheir,2,freezes 8 out of 10,most of the time i open the app and as soon as i tap a meal to add food it just freezes and i have to restart and the dame thing happens again.
13183732165,2025-09-25 09:39:19-07:00,darren86,5,amazing,"i lost so much weight with this app, now im able to scan my food"
13183478428,2025-09-25 08:32:34-07:00,drm538,5,my netdiary app,1
13183348321,2025-09-25 07:59:32-07:00,brittbrat979,5,review,this app is very helpful along my journey
13181583425,2025-09-24 22:41:21-07:00,jlsea5817,1,doesn’t work,"tried to start an account, got to the “meal scan” and nothing happens after that"
13179556893,2025-09-24 10:45:15-07:00,ashamed asher,5,great all around,i love this app and it’s my favorite by far over many.  i am really sad they don’t offer a lifetime option where i can buy it outright and avoid monthly or yearly payments indefinitely.  that’s the only downside.
13178845736,2025-09-24 07:32:58-07:00,jelyan2,5,love this app,its so easy to use.
13177374236,2025-09-23 23:27:44-07:00,teddytedra,3,“review fast” terrible feature,"it leaves notifications until i just delete the fasts. i don’t want to deal with constant notifications, when i completed fasting periods. a way to choose this is complete and accurate would be fabulous… so i can actually use the feature (like the food log “mark complete” button. )🤷🏻‍♀️.  other than that i love the app."
13176608454,2025-09-23 18:15:42-07:00,$jlcargill$,5,best macro tracker used,"i used my fitness pal in past and found it fine to meet my needs.  however they made it where you had to pay to scan barcodes and this made it inconvenient to log food quickly.  i found this app and like it alot more.  the more i use it the more i like it.  give it a try, its beautiful designed and fast learning curve and very customizable"
13175753942,2025-09-23 12:59:15-07:00,alpine gingy,5,the best calorie tracking app,it has so many good features if you pay or just use the free version. so much better than any of the other apps i have tried.
13173806885,2025-09-23 03:51:29-07:00,ashley00001,5,best one out there,"best calorie tracker out there, and i’ve tried them all. free version is also great, free scanner… if you’re being charged, then you’re clicking on things you shouldn’t be clicking on. click the x to close out. you don’t “need” to pay for premium, and you don’t “need” to make an account to use the app."
13172698734,2025-09-22 20:26:51-07:00,khashayar61,5,great app but,perfect overall except it freezes everytime i click on “view all meal” forcing me to shut down the app. happens everytime.
13171267261,2025-09-22 11:50:07-07:00,truthteller1003,5,great app,"i’ve been using myfitnesspal for about 7 years. today, it deleted my account and i was unable to restore it, so i downloaded mynetdiary to try it out. i’ve only logged my breakfast and first workout of the day, and i’m already loving this so much more. the cute design of the app makes counting calories fun, not like a burden. and also, they have the barcode scanner free which makes logging food so much easier, and is really what sealed the deal for me to keep this app and stop looking for another tracker. thanks, i am feeling a positive motivation to reach my goals from just the first 20 min of using this app, something i never had in all those years of using myfitnesspal."
13170103434,2025-09-22 06:29:19-07:00,just be upfront,1,"not free, waste of time",went through all the information added everything just for them to ask for a subscription fee jeez
13169814622,2025-09-22 05:09:00-07:00,mike varble,5,impressed,i’m impressed by this app. it’s easy to use especially since it can scan the barcodes and populate automatically. i just wish i could get it to sync with my apple health app
13166909441,2025-09-21 11:03:59-07:00,flash 😃⚽️,5,good macro tracker.,i am a bodybuilder who use to use my fitness pal when it was free. found this app that is free and lets me scan barcodes. love it. it’s simple nothing to crazy but if it ain’t broken don’t fix it.
13161300401,2025-09-20 06:13:14-07:00,r-duke,5,great app,"i’ve been using calorie counter - mynetdiary for several years now.  i set my primary tracker to carbs since i became a type i diabetic in 2023.  i still see my calories, but since i have in inject insulin based on carb intake, this app is extremely helpful.  i highly recommend using it for more than tracking calories."
13159165665,2025-09-19 17:57:47-07:00,kasia colene clegg,1,dont try the “free trial”,"i decided to try the “free” trial and it charged me $32. ripoff of an app, better off getting a notebook and starving yourself."
13158330463,2025-09-19 12:56:23-07:00,fisterace,5,excellent aid for weight control and nutritional management,i got the app to increase my weight and maintain healthy nutritional balance while doing so. great flexibility and wide ranging feedback on what you eat. sometimes there is a discrepancy between the library of foods listed and their actual content. but it is easy to enter a custom food with its unique nutritional profile. the graphs of weight and other nutritional values are greatly helpful.
13158274156,2025-09-19 12:37:52-07:00,okeswampman,5,lifesaver,"the mynetdiary app has been the lifesaver since the last of june for me in my new lifestyle change in eating habits. keeping my 1,900 daily calorie intake in this app has been a great help to me. i have lost 37 lbs and feel fantastic at 71 years of age!!"
13157058026,2025-09-19 06:59:21-07:00,janenolden,1,still too difficult to find recipes.,too difficult to find things i use often like recipes and premium ( recipes). now i can’t find recipes i have imported! where are they??
13156865819,2025-09-19 06:09:55-07:00,*b*lucky 13,3,food log needs work,content is fine. it’s convenient for tracking. i don’t understand why the database automatically changes words or letters that i enter when i am clearly spelling a different word and automatically changes it to another food. incredibly frustrating when that food is totally different from what i’m entering. this is not a keyboard or spelling issue with the phone this is completely on the app.
13156086906,2025-09-19 02:06:06-07:00,h2oh2oh20,5,mynetdiary is an awesome application !,"this is a most excellent and truly useful application :-)

i use it daily to keep track of all my health information: nutrition, exercise, and medications.

in addition, mynetdiary does a very good job of rolling out bug fixes, as needed. 

i recently noticed a small glitch - when i change the mnd chart color option on a medicine entry that had previously been saved, the entry disappears and a new entry of an identical name cannot be created because the application says the entry already exists :-)

overall, i’ve gotta say, this application is phenomenal.

a tip of the hat and my thanks to the developer(s) !"
13155262595,2025-09-18 20:19:06-07:00,nitilla,5,it works!,i lost 16 pounds in 2 1/2 months. just focusing on carbs and protein. this tool is pretty accurate. i trust it and it’s a lot of fun. good luck to your weight loss journey.
13155236694,2025-09-18 20:08:22-07:00,ambiepams,5,life saver!,"absolutely love this app!
it has helped me in so so many ways on my healthier lifestyle journey 🤍

i really love the layout and the simplicity to log all your data down.

keep it up netdiary; much love ❤️"
13154176932,2025-09-18 13:30:40-07:00,menareembarrassing,1,not free don’t waste your time,it’s not free don’t waste your time
13153739784,2025-09-18 11:11:18-07:00,kodialiski,4,monitor calcium intake,i joined this app to help me monitor my calcium and magnesium intake.
13152281912,2025-09-18 04:30:43-07:00,recoursefitness,5,the ultimate fitness tool!,"not tracking what you eat and drink, is like driving around with a broken gas gauge, good luck with that."
13150763134,2025-09-17 18:22:54-07:00,fzg443,3,barcode scanner,"the barcode scanner goes in and out all the time, love this app just wish they would fix that issue. otherwise it’s fine"
13150545900,2025-09-17 16:58:53-07:00,vabbato,5,great tracking app,"wonderful app, this app has been a good guide and tracking source for me to loose my weight. the ai is excellent and tracking is easy."
13150289633,2025-09-17 15:19:03-07:00,smc013,5,awesome app,"using this app, i have lost 15lbs , it’s very easy to use."
13147947876,2025-09-17 03:38:28-07:00,appuser496,1,account,“no account required” yet the first thing it requires is an account.
13146005114,2025-09-16 14:32:01-07:00,ga ot,5,really helps me to stay motivated and on track,i have tried a lot of different things to lose and maintain my weight. this allows me plan my meals and to make healthier choices
13145807955,2025-09-16 13:21:25-07:00,wwwwwwwweweary,3,foods scanned doesn’t automatically go into database,it is frustrating to scan a food numerous times if you forget to make it a favorite. the search function could be more robust/efficient
13145424484,2025-09-16 11:19:02-07:00,paipachasr,5,my fav,i have tried several apps like this and this is by far the easiest
13144544978,2025-09-16 07:07:13-07:00,moreview,5,intuitive app,this is the best & most well made app in its class!!
13142384725,2025-09-15 17:07:52-07:00,no thanks or,1,annoying and frustrating,annoying - let’s scan a barcode and then have to select how much of an item you had bc that makes sense.
13142179049,2025-09-15 15:43:27-07:00,sale review,5,easy tracking,this mynetdiary app has everything in it. i love the bar scanning feature.
13140033971,2025-09-15 04:11:05-07:00,bloink blonk,1,stupid,you have to pay for the free account and the premium you shouldn’t need to pay for an account
13138460540,2025-09-14 16:50:56-07:00,bobzilla360couv,5,so far,i needed something to help me with my macro tracker so a friend told me about this app so far it’s been really good easy to use. i definitely will be doing the upgrade.
13138120596,2025-09-14 14:28:55-07:00,leslie2345,5,best ever,"hands down the best tracking app i have ever used. i have used ww, noom, myfitnesspal, and healthi. i am actually making progress and tracking with this app is as easy as it could possibly be."
13137982150,2025-09-14 13:35:57-07:00,marrie222,1,not free,"$9 a month. will yall just stop saying it’s a free download, because it isn’t."
13137751323,2025-09-14 12:15:31-07:00,solid listening,5,healthy and great,"this fits me, get it"
13132994480,2025-09-13 08:48:57-07:00,pc614,5,it’s works,i love this app. it keeps you accountable. it’s easy to use and it absolutely works if you follow it.
13126989395,2025-09-11 20:34:47-07:00,calisthenix,4,be aware of aa!!,"i’m writing this because i have just one big problem with this app: advanced autopilot. other than that, it is wonderful. but there is no way at 23 years old being a very active woman that if i eat any more than 1600 calories i will gain weight. perhaps if i had disordered eating would i believe that. at 10k+ steps a day not including weight/calisthenics training. instead a deficit should be more of a fixed amount for a few weeks before going back to maintenance to avoid metabolism changes and burnout. 1600 is a crock."
13126137563,2025-09-11 14:27:11-07:00,nowdazzleme,5,great app,this is a super easy app to use. very useful!
13126000349,2025-09-11 13:31:44-07:00,b0bbyd64,5,this is the app,"if used it to lose 
80 lbs. it is so easy to use. scanning from packages or using the seemingly endless database of foods. adding a new one that doesn’t take long. go ahead and dive in and lose weight"
13122078416,2025-09-10 12:12:52-07:00,landsharkak,5,fabulous,i love this app. it has been incredible for my very specific diet due to hypoglycemia issues. well done. i just wish it was free for all of the features. the free part is awesome still.
13121371925,2025-09-10 08:22:48-07:00,rommy2098574,5,losing weight,i have been enjoying this app for the past 12 days and got the 1500 calories according to my body and i have lose 6 pounds
13121336857,2025-09-10 08:12:30-07:00,andrew’s thought,5,simple and great,simple tracker that works well. i also love the iphone widget.
13121040653,2025-09-10 06:47:32-07:00,christy 17,5,i love this app!,"i mean this app is by far the best for tracking everything and it syncs w other apps to track weigh loss or gain and exercise it also adjusts to your moving to decrease or increase calorie intake. 
so easy! love it"
13120978347,2025-09-10 06:29:42-07:00,colbycolonial,5,accountability,it makes me so much more conscious of what i put in my mouth and makes me more accountable
13120700296,2025-09-10 05:06:23-07:00,mr tabi lion,5,worth it,this app has been absolutely helpful. love the fact that i can sync my apple health with the app plus i love their recipe of the day . i have tried a few of them myself and they are delish. lost 50lbs in 8 months.
13120117601,2025-09-10 01:25:14-07:00,heyrae331,5,free version,works just fine for now. it didn’t go all the way up to my weight of 678lbs so i had to play with the numbers a little.. but i’m down to 540lbs now!
13120116284,2025-09-10 01:24:39-07:00,scandeepants,5,efficient!,"i have done fitness and nutrition apps for the last several years, and i now discovered mynetdiary! it so flexible, and the ease of just entering my day to day food and exercise is a breeze! i feel good ending my day with efficiency and accountability … this app covers everything you will need!"
13118874845,2025-09-09 16:04:44-07:00,coked up monkey,2,needs to stick to food logging,great food logging app. the budget and weight loss features get in the way.
13118525702,2025-09-09 13:40:56-07:00,swilson1628,5,amazing,i lost 102 pounds thanks to this app! i love it
13117530887,2025-09-09 08:06:50-07:00,insert creative username here,5,i lost 30 pounds in 5 months,"i have tried a lot of calorie counting apps, and this is the best free version out there. you can log everything (calories, exercise, steps, water) and chose if you want burned calories to contribute to your calorie deficit. you can set a comprehensive plan to reach your target weight, and you can input your weight to track the progress. you can also store progress pictures!"
13115374660,2025-09-08 17:56:54-07:00,donumdei3790,2,i’m stuck with it,"honest it’s not a good app. it look all nice but it has such little verity of things. sometimes it doesn’t have the simplest things. myfitnesspal has 10 times more verity of things to add. with this so many thing you have to add. i made a mistake by purchasing the full year. after using the myfitness. i wanted a change but sometimes change is not good. 
do the free version"
13114936905,2025-09-08 14:54:36-07:00,bmbelko,2,not free- free trial only.,should have read the more recent reviews better. it’s free for a week if you x past the pay wall. then they start charging. i just want a counter. i’ll use a pen and paper. i know how many calories i eat.
13113717898,2025-09-08 07:53:11-07:00,tesstp2,4,print recipe quality poor contrast,"five star except for the print feature. sometimes, due to a bad internet connection, i like to print the recipe. it used to be easily read, now the quantities are shown in a very light blue that is difficult to read. i can use the high contrast setting to view the recipe on the screen and have it be easily read, but in this setting, when printed, it shifts back to the light blue. 
please fix this!"
13112283134,2025-09-07 22:44:41-07:00,jim mileski,5,obsessed,nutritionist told me about this. on day 3i bought it. that was last month. i’m obsessed. i weigh. i’m learning just how deep this app goes to breakdown everything you could imagine with any ingredient. and the ai is so accurate that i don’t weigh anything on a plate. the ai analysis is spot on to what i get when i measure on the scale. that’s so incredible. i can’t say enough. plus pdf reports to download and show. i do wish i understood some of the platform better. but it’s simple the more you play with it. this will become a daily for the rest of my life. and i’m down 22.5 pounds in just one month!
13111315022,2025-09-07 15:29:47-07:00,cooly808,5,helpful,this app is very helpful. keeps you organized on a healthy track. very helpful to log down. the free access is great already.
13110276320,2025-09-07 09:30:27-07:00,bmg42,5,so intuitive!!,"seriously thought of everything! every time i think of something i want to do in this app to help my planning…it s there! and super easy and intuitive to do. definitely check this out.

plus tech support is super responsive and helpful. had one question and they responded w a fix overnight. 

use this!!!!

paid version is also very very worth it. love esp the new ai component which auto calculates food portions and calories by taking a pic of your plate or meal. amaze. 

use this and get healthy!"
13109856250,2025-09-07 07:30:09-07:00,ayaasss,2,freezing,the app has been constantly freezing when you select buttons for months.. used to be my favorite tracking app.
13103002702,2025-09-05 13:32:56-07:00,sofiam227,5,best food tracker app,this app is amazing!! it has been my favorite food tracker app. it scans bar codes which makes things easy. i also love the feature where you can create and save your own recipes. love this app!
13102067816,2025-09-05 08:20:02-07:00,beewilcox,1,fasting plan,i often forget to activate “start fasting” wish i could log it in the morning.
13101856208,2025-09-05 07:19:43-07:00,dorei jewl,1,not free in any form,"their write up said they had a free version , yet when i signed um there was no free option . two options were available , both for money , not free . wouldn’t let me continue without clicking one of the two pay options . 🤬🤬🤬🤬🤬🤬"
13098635713,2025-09-04 10:38:12-07:00,abby11114,4,pretty cool,"i like it, the only gripe i have is that there is nowhere to track drinks that aren’t water. if feels strange to log it as a snack."
13097641367,2025-09-04 05:39:18-07:00,somekindofginger,2,ai slop,"it's frustrating to use.  estimates are useless.  photo feature is beyond wrong.  calories are just scraped from the web by ai and don't even have proper servicing l serving sizes.

i just couldn't sit down and enter how many mls of a single serving container i consumed.  it's 1 unit.  1 bottle.  if this wasn't ai garbage a human would obviously notice that."
13097547016,2025-09-04 05:10:32-07:00,humingbird53,5,amazing,this app is amazing. so much pertinent information. highly recommend to anyone trying to loss weight and get healthy. great exercise and food suggestions.
13096410994,2025-09-03 21:19:34-07:00,tigglebitty,4,lacking a lot of basic exercises,"the app overall is fine. i paid the $60 as well, and it has good bones with a lot of potential. the thing the irks me, is that this thing lacks even basic exercises in its catalog. for instance- a leg press or even chest flys. it’s up to you to figure out the details and calories you potentially burnt, create the entire exercise and then log it. but they have swimming and tennis? seems backward that those who would normally use an app like this would more likely go to a gym and use basic equipment and yet, outside of a bike and elliptical there’s not much common things to choose from. 4/5. hope to see it updated before my year ends."
13095567995,2025-09-03 15:23:17-07:00,chris367864435778,2,can’t get past opening info,must be a glitch
13095311028,2025-09-03 13:39:38-07:00,good vibes61,5,awesome,"simply an amazing tool for weight loss, health and fitness.  love it!!

this app is absolutely amazing.  i’m blown away by how simple it is to use and how powerful and adaptable it is.  the ai feature and the calorie catalog for so many foods is incredible.  i’ve lost 40+ pounds, so this app rocks!!"
13095052132,2025-09-03 12:04:11-07:00,heathbar109,5,funny glitch,"i love this app, especially since the barcode scanner isn’t behind a paywall and they tell you your exact nutrients and what to change"
13094887215,2025-09-03 11:06:28-07:00,sugarstarly,5,"works well, but $$$","it works well and does what it says it would basically without issue, and its free barcode scanner is a lifesaver to other alternative apps, although, its premium is a steep price to payout for something as important as a calorie counter. an improvement i would like to see is a cut in the cost of premium content, or adding more premium content to warrant the higher price tag."
13093383141,2025-09-03 03:16:23-07:00,mema-3,5,mema-3,this app is awesome!
13092719363,2025-09-02 22:20:09-07:00,nicenoted,2,cannot import from cookbook app,unfortunately the app cannot import from the cookbook app. the import function appears dependent on the recipe being published on the internet making it ineffective for my needs.
13092040914,2025-09-02 17:24:57-07:00,jules9557,5,easy,app is super easy to use. is very useful in tracking not only calories but nutritional value as well.
13091661182,2025-09-02 14:46:21-07:00,mdk :/,5,actually helpful,"i have the free version of the app, and the features included are extremely helpful for calorie tracking, water intake, and overall weight loss. you just tell the app how much you currently weigh, how much you’d like to weigh, and when you’d like to lose the weight by. then it gives you a recommended calorie intake for the day based on some basic information."
13088566411,2025-09-01 19:48:33-07:00,meijin89,5,super easy,"great app, simple to use and very clear to understand! extremely accurate and it has helped me loose 20lbs so far"
13087827621,2025-09-01 14:43:13-07:00,rickybob1000,1,i switched to another app,"meal input options in this app are too limited, even when paying for premium"
13086158361,2025-09-01 06:05:05-07:00,back2norm,5,an app i’ve used for years and more to come,easy to use with great accuracy. am able to control weight and easily identify the reason(s) for a bad day. several applications available but none come close to mynetdary.
13083489120,2025-08-31 12:09:42-07:00,shmoo69,2,doesn’t listen to users,"this app has the potential to be really good. unfortunately they don’t listen to feedback. update 8/31/25 i was emailed with an explanation. my response is while “addressing “ the food logging side of the app please “address “ the social side of the app.  as far as emailing support, i have sent several emails to you this past year. the response is very similar to the response to this review. “we looked at each…..” “ your feedback is important” “ i have forwarded this to…..”. yep we’ll see."
13083288748,2025-08-31 11:02:52-07:00,tckd offff,1,dishonest pricing,"i’ve used this for a year then cancelled renewal back in the summer. 
i went to the app today and received a promotional request that stated a special “labor day pricing of $39.99 for a year instead of the usual $59.99.” so i decided to renew. instead my m/c was charged the full regular price of $59.99!!!!!!
please refund the $20 or i will report your company as fraudulent!"
