id,date,user_name,rating,title,content
13212169568,2025-10-01 21:59:46-07:00,why all the nickname are used,5,improving all the time,the best tool for being healthy
13201213402,2025-09-29 10:07:42-07:00,mich42473,5,love this app!!!!!,"i have always had a hard time losing weight.  this makes it so convenient having it on my iphone. i can easily just take out my phone, and log in what i am eating and drinking.  i really like that it also analyzes your day, and tells you what you've done good and what you've done bad.  i pay a lot more attention to sodium intake too.
you can also program your weight loss goals, and that it tells you how many calories you can take in, and how long it will take to take it off.  it will also tell you if you're trying to lose weight too fast.... love this app!!!"
13169246712,2025-09-22 01:52:38-07:00,boll weevill,5,efficient useful smart,"i am very appreciative with apps integration of data from withings body scan and garmin bpm without using apple health.  i would like ability to not use any apple health data....

note::  please fix the time!!!!   alot of us don't follow suburban people schedules and actually start our days at 0300am...  this app incorrectly blends early am data with the previous day"
13167871886,2025-09-21 16:24:34-07:00,rh&p mom,5,great ap,"i really like this ap.  it lets me keep track of what all i eat throughout the day .
gives great calories info, & lets me keep track of my water intake, steps & exercise cals."
13167761305,2025-09-21 15:41:13-07:00,michelle$1880,5,ez to document,"ez to journal, ez to navigate,  and very user friendly.   it’s not cumbersome to journal like other food journal apps. i highly recommend this app to anyone looking for simplicity."
13133730756,2025-09-13 12:33:59-07:00,ohiogirl48,4,unmet need,i’m a type 2 diabetic taking a glp-1 and the current moderate low carb plan doesn’t completely meet  my specific needs. you desperately need a plan for diabetics taking a guy lp-1. please!
13128222033,2025-09-12 05:16:13-07:00,lightning cube,1,constant nonstop ad popups,"i purchased the pro version. this app will constantly, multiple times a day, multiple times in a row, popup annoying advertising about their offerings. while i was initially curious about ""premium"" offerings i absolutely won't be rewarding this kind of behaviour in a paid app. i'll be looking for alternatives."
13090864132,2025-09-02 10:00:17-07:00,nikynikypopo,5,best,this is the best out there
13086280597,2025-09-01 06:39:32-07:00,staff sergeant wheeler,5,amazing,"tracking your meals part is amazing and adding your work out to the app is amazing. i got hurt really bad so i haven’t been able to workout or hit the gym like i was, but once i’m recovers i’ll be back. before i was hurt i went from 302-274 so the app works."
13085769279,2025-09-01 04:00:10-07:00,pasta alfredo,5,my new if pal,it’s been about one and half weeks so far and i am definitely impressed with this app and its features. i wish i tried it out sooner.
13039858152,2025-08-20 09:01:48-07:00,kmiku002,5,only way to lose!,i love this app. it really helps me lose weight and i keep it off. it’s my daily companion.
