id,date,user_name,rating,title,content
13246625175,2025-10-09 20:08:36-07:00,edijcn,1,Create a food,It won’t create a food. It just loads for 20 minutes.
13222262690,2025-10-04 05:20:58-07:00,Aly tely,1,Horrible,I tried to sign in and it didn’t let me because I’m 10 that is so whack. I’m never downloading this app ever again. And also most of the reviews are negative.
13206082828,2025-09-30 12:43:03-07:00,NYCS Trainutt,5,Great Meal Tracker,"The free version is very good for tracking snacks, water and meals with easy input functions, plenty of items in the various library categories and restaurant items as well. 

A little less “buy premium” popping up every time you “touch a crown” 😂 would be nice but the app is free after all. 

A setting option for a 24 hour clock instead of AM/PM would be terrific, all in all it is an easy to use friendly formatted app."
13173978348,2025-09-23 04:44:33-07:00,Recipe lover,1,Expensive membership lost,Paid around $100 for a lifetime membership and they lost it
13172386208,2025-09-22 18:28:30-07:00,Zaronology,2,"When the macros are wrong, which is very, very, very, very often","When the macros are wrong on a food, you have to input the entire thing all on its own. That wouldn’t be such a pain, as other apps do it, but those other apps typically let you copy the same information over and just adjust what you need for your own records. with this one, you have to submit the information with a picture, which is just absolutely ridiculous. It is so inconvenient and waste so much of your time to use this app. The more basic apps will suit you much better if you’re actually doing this on a daily basis. I thought that this app would give me more reports and things that would benefit me, I was wrong. 

The user experience on this app is very clunky, time consuming, and not intuitive. I honestly don’t understand how this app has such good ratings, unless it’s audience has never used a different type of app. None of them are perfect, but where they are not perfect they make it easy for you to make adjustments on your own without having to wait days for them to update the food for you to get an idea of what you’re really consuming. Other people may not take their diet as I do perhaps, but since I’m putting in the effort to do it anyway I wanna know down to the proper calorie, not have to make estimates or waste time having to do manual inputs because their data is an accurate."
13159585813,2025-09-19 20:29:25-07:00,cupcake rainbow girl 18,1,Wouldn’t let me use,"I was just downloading and app and inputting my info when all the sudden, after I put in my age a message pops up saying “you can’t continue to use fooducate”. The issue is, the App Store says it’s 17+ and I’m 17, almost 18. And I put in my birthday correctly. I tried swiping out of the app, I tried redownloading it and restarting my phone. Not sure what the issue it"
13146156954,2025-09-16 15:30:52-07:00,Beware this app isn’t great,1,Don’t count on the free trial,Was charged right away and didn’t get the 7 day free trial
13074683796,2025-08-29 07:25:14-07:00,Duhvhhb,1,Add new products,App won’t let me send the email when I want to add products that are not scanning
13038058700,2025-08-19 22:42:19-07:00,SadieKay14,1,CUSTOMER SERVICE NON RESPONSIVE & CAN’T OPEN APP FOR 6 WEEKS!!! 🤬,"UPDATE: 8/19/25
This issue remains unresolved, a total waste of money for the app, and total waste of time with customer service for no solution. 

UPDATE 4/28/25: 
This is my MOST RECENT email to customer service, sent today -

“Hello??????!!!!!!! 
I’ve left a negative review for you guys weeks ago, and I have been waiting for a response for weeks for you to solve my technical problem so I can use the app again. Since this is taking WAAAAAAY too long, I want a refund immediately, of which I asked for on the 13th with no response, and it is now the 28th. I am going to continue updating my negative review in the App Store until someone responds and provides a refund.”

4/12/25: 
I’ve literally been waiting three weeks for Customer service to fix an error message that is popping up saying that I’m not connected to a network, which is incorrect. I am. It won’t let me log into the app and I just re-purchased this app a couple months ago. I’m gonna be finding another one and requesting a refund if I don’t get my refund I’ll update this review."
13028113734,2025-08-17 10:27:24-07:00,ViViCooks,4,Worked but not very big catalog,"This is a very good website, however most of the food I logged was user-added, and the qr-code scanner doesn’t really work."
13008368717,2025-08-12 15:05:11-07:00,HDSG2016,2,Not accurate,The database is full of errors. I have reported a few and they still haven’t updated it
12979344911,2025-08-05 08:16:15-07:00,ListenToughGuy,1,Don’t download,"Everything is behind a paywall. Useless without paying. Not worth the cost. Basic functions available in other apps not available here. Food ratings are arbitrary and not based on true science.  Use Samsung health instead.

Edit: their response to this is both very generic and meaningless. They couldn’t even be bothered to write a real response."
12978899665,2025-08-05 06:11:50-07:00,toppingj,3,Used to be great,"I’ve been using Fooducate for years, about 3 days ago all of sudden it will not connect and I can’t access my account. Just keeps asking me to try again. I reached out to support and will update this review once they respond. For now I’d say don’t bother downloading it through the App Store.
UPDATE 2025-08
App is working again. It seems the VPN built into my iPhone is causing the issue. I’m not sure how to feel about an app knowing it only works when the VPN is disabled. I’m glad the app works but also feel like it’s at the expense of my personal device security and safety. I’m not sure why after 3 years this now an issue."
12959637429,2025-07-31 10:03:20-07:00,Follow Reach Records,3,Great Start but,This app has most of the features that you could want but the missing restraint food and items are tough to overcome. Also some of the nutrition scoring is frustrating. Most nutrition coaches would say a less sugar fairlife protein drink is better than a premier protein but fairlife is a D or C+ while premier was a B. There were other confusing score values as well. I tried to submit feedback in the app but the app is also didn’t let me complete that process and just said I needed to set an email? Which I had already in my account?
12931880344,2025-07-24 12:10:10-07:00,Unidirectional Velocity,1,Infinite potential but completely missing core element,"This app does have great potential of taking away a vast part of the market share. However, when it comes to adding the missing nutritional information from so many various food items that are missing from your database, it is extremely frustrating that you ask to send the photo of the nutritional labels via e-mail to be addressed at a later time by someone else, who does that these days. It should be addressed immediately via A.I. tools being implemented right within the app so that it can immediately extract all necessary nutritional information right from the user’s photo of the nutrition label, instantaneously reflected in real-time basis. Please get with the trend and keep your app capable; otherwise, new contenders will literally turn your app completely irrelevant, then no one will use it, period."
12927529021,2025-07-23 10:31:16-07:00,rsunka,3,Good App but need works,"The food database seems to be limited with my having to add more manually then pick from the list.

The UI is pretty clunky overall and could use an overhaul to make it slick and modern."
12892197288,2025-07-14 15:03:56-07:00,Lou Riolo,1,Not free,Got up because it said it was free and it's not. Don't waste your time unless you wanna pay.
12856219870,2025-07-05 10:32:44-07:00,Vegas Dave #1,5,Exceptional guidance,"With Fooducate’s Excellent food library, scanner and counter, coupled with a small food weighing scale and determination are all you need for success!"
12841160012,2025-07-01 16:20:33-07:00,Jody1612,4,Not Bad…,"It’s nice to be able to keep track of what I eat in order to have more control of my habits. However, I don’t always get to enter what I ate until the end of the day and the app does not seem to let me change the time I ate each item. So everything I eat in a day gets entered as if I ate it all at 7:00pm."
12840107452,2025-07-01 10:17:19-07:00,Horrible Upgrade!!!,1,Horrible App,This app can’t find foods on a consistent basis.  Half the time you can’t find the grocery tab.  What a waste of time.  My Fitness Pal is a far better app.
12816600451,2025-06-25 12:01:03-07:00,Yaslicious,1,"Like most, it spies in you","This app used to be great, but I stopped using it for a while and now that I started using it again, it keeps saying that there is a network error. To make sure I am connected to WiFi or cellular service. It is, but the problem is that I ALWAYS use a VPN. They hate that because it makes it a lot harder for them to track us and spy on us. Many unscrupulous companies (I don’t know about this one) claim that they don’t allow VPN’s because of security concerns. What a load of you know what. VPN’s increase your online security by encrypting your online traffic. And that is why they keep telling people to use a VPN while using a public and unsecured internet connection. Such as the WiFi connections at markets, stores, coffee houses, airports and bus terminals, and so on. But it also interferes with companies ability tracking you and your device. No tracking, no selling of your personal information and that means less money for the greedy developers."
12794747231,2025-06-19 18:49:23-07:00,cdsal_99,1,"UPDATE YOUR APP PLEASE, THANK YOU",It’s really buggy and I can’t use it.
12792640022,2025-06-19 06:31:21-07:00,nickainohio,2,Half a good app,So few foods are included that use of the app is handicapped
12788727734,2025-06-18 06:16:49-07:00,Terribleshy,2,"Glitchy, no customer service",The app never synched and I sent a support email right away but no one ever responded but still was charged.
12773367610,2025-06-14 06:29:43-07:00,Tenerbeaner,4,This has been a good App but,"This has been a good app, but I do wish you would give the option to take a pic of my plate to scan home made food to get a better idea of the calories on the portions and to save for my meals. The current meal label doesn’t have enough characters the list all the foods on my plate."
12709774689,2025-05-28 18:02:34-07:00,Micahadair,1,Don’t get taken!,So I checked my Apple account… was charged $35 for this app not sure how?! I downloaded it months ago have t used since didn’t find it helpful! Beware when they get your info they use it… so a yr subscription I cancelled but eating no pun intended $35 for nothing!
12669814058,2025-05-18 05:40:52-07:00,Quentin8909,1,Very lacking,"Lacking, they charge you for macro analysis but they have incomplete and/or inaccurate information. And it takes them months to implement the information you provide for the product they don’t have."
12666813928,2025-05-17 09:37:32-07:00,Jamel11234,2,Time for an upgrade,Isn’t it time that you had AI capabilities so that all we need to do is take pictures of the food instead of barcodes
12629714265,2025-05-07 07:08:50-07:00,bandobear919,4,"great app, needs some minor tweaks","i downloaded this as an alternative to MyFitnessPal because all that app has done is make me feel bad about myself. i don’t get that feeling with this app. there is a paid version (that i do not have) but the food scanner is free and it is super easy to create your own food items. my one issue with this so far is that it only records calories burned if i am starting a workout on my watch (ie lifting, going on a walk) but doesn’t transfer all of my “move” calories"
12569059796,2025-04-21 05:30:13-07:00,Camarodimasi,1,Didn’t even get in,I don’t often leave reviews. But this app made me mad. If it’s “completely free” to register and “my card will not be charged” then why don’t need my credit card information?
12563399993,2025-04-19 15:40:39-07:00,hornnic,1,ad infested,"redownloaded this after a few years and I guess they got bought out by some giant company, sad to see that the app now is just covered with ads and trying to push you towards their premium plan, a shame and I will be looking elsewhere for food tracking apps"
12540369030,2025-04-13 17:02:35-07:00,coco030815,3,Great concept but not fully executed,Not worth the paid version. Most of the foods I scan do not show up. Then when I try to send the email with pictures the email does not work. Leaving me with the inability to add key foods I eat everyday. I paid for a full year and plan to request a refund since I can’t use the app fully.
12515456265,2025-04-07 10:10:08-07:00,hmh5432,1,Did not honor lifetime subscription purchase,No way for company to look up past lifetime subscription purchase and app has been reset.
12499264346,2025-04-03 09:51:04-07:00,DoolittleH,1,Scam,"Tried the free trial, didn’t like the app. Canceled after selecting the weekly charge and it still charged me the full years subscription ($34.99) which is unacceptable. Don’t bother with this app"
12460991023,2025-03-24 18:32:24-07:00,Hgfjjdgjknctyb,2,Background Activity Tracking / sharing your activity with 3rd parties,Most recent update has added features that share your activity with 3rd parties such as appsflyersdk. Unfortunate because their app is awesome but now sends our data to 3rd parties.
12452520151,2025-03-22 17:27:21-07:00,Bsinj,1,First experience,Useless - cannot read apple barcode
12425926533,2025-03-15 20:40:27-07:00,"cghtgtcgt,chyhy",5,Easy to use and easy to read,Really love to use this app when I’m trying to be more serious about tracking my diet and exercise.
