id,date,user_name,rating,title,content
13220991589,2025-10-03 22:04:29-07:00,calix2000,1,was better before.,"use to be able to set your own calorie budget. now they want you to pay for that feature. deleted it and went to another app that allows it for free with all the same functionality. sad cause i did. like this app. oh well.

plus i refuse to subscribe to any app that takes me out of apple to pay. if you don’t except payments directly from the app store then you won’t get my money. simply do not trust anyone that does that."
13220210120,2025-10-03 17:07:14-07:00,b-unit7,5,best affordable app,i got this app reluctantly after using my fitness pal years ago. went back to it and it was very expensive. this app is cheap and very easy to use! also logging workouts and new food is a breeze. well worth it (down 40 lbs in less than a 100 days)
13218815886,2025-10-03 09:22:22-07:00,another chris b,2,taking features away,scanning barcodes for easy entry used to be free. i’ve even contributed nutrition  information on foods i’ve purchased. so it hurts to have them take a feature i contributed data to and put it behind a paywall.
13218620439,2025-10-03 08:31:27-07:00,ruskie66,5,it works!,"i lost 70lbs with this app! you have to be honest with yourself and be patient, it will happen!"
13216971746,2025-10-03 00:22:01-07:00,alim1,4,"decent, but has one flaw","it’s a good app and relatively easy to use. it also tracks linked exercise activity so you can a decent idea of calories in/out.
the odd thing is i’ve been using it for 3 months and am consistently under my target over a week but my goal keeps getting pushed back. i don’t think i’m ever going to reach my goal at this rate."
13216565945,2025-10-02 21:42:59-07:00,maddiethebaddieeeee,5,absolutely amazing!,"i recently started but, i like the ways it works. i like that i’m consistently able to to track my calories. it’s good whether you’re trying to lose a lot of weight or just trying to be mindful of the calories you’re consuming every day. i would pretty much anyone."
13216339395,2025-10-02 20:14:10-07:00,chubbykoalaz,5,weightloss,i’ve lost 23lbs in a month thanks to lose it! tracking my macros really helped me to!
13215181967,2025-10-02 13:15:59-07:00,kincaidsea,1,10/25- horrible changed,i’ve been using this app for probably about five years and have really enjoyed it until recently. recent changes to the app have disconnected the out from my fitbit unless i pray a premium and now they’re forcing commercials all through the app and they’re using those fake pop-ups that look like they’re going back to your phone desktop. it just irritates me. i would not recommend it with these changes. i hope they change it back.
13214796132,2025-10-02 11:15:31-07:00,luhbun,5,u,this app has helped me so much
13211694968,2025-10-01 19:02:04-07:00,coolkidontheinternet,3,payed features,first you remove the free scanning feature and now you removed the feature to track your food for the next day? why?
13210250816,2025-10-01 10:51:03-07:00,"old eyes, audiobooks",5,love it!,i didn’t realize where my “problems” were till i started tracking my food intake. especially fruits/sugars.
13209527167,2025-10-01 07:42:43-07:00,savleigh96,5,this app makes all the difference in tracking!,"i love this app! it’s totally user-friendly, but also intuitive, and makes calorie counting honeslty kind of fun, rather than a huge chore. i love that the foods are user-generated, so i hardly ever have to add a new food myself unless maybe it’s a homemade recipe. i love that it links to apple health and makes tracking macros incredibly easy. cannot recommend enough!"
13208892759,2025-10-01 05:04:48-07:00,cpete420,4,helped with weight loss,"great app that’s really helped me stay accountable. you don’t realize what you’re eating daily until you track it. would love to see a little more available for the free, but i get it. it would overall be very cheap and worth it to buy the subscription.  just depends on your fitness/health level."
13208756728,2025-10-01 04:27:48-07:00,divamomcarole,5,slow and steady,it’s a journey and the “lose it!” app is the best tool i’ve found to keep me tracking every meal. the qr scan code feature is amazing.
13208273817,2025-10-01 01:51:24-07:00,troubodor,4,question,how do i eliminate a food from my list?
13206354533,2025-09-30 14:13:14-07:00,andy. aguilar.,2,pay to scan,"you have to pay to scan, i’ve had this app for so long and now they decide we need to pay to scan unbelievable."
13205593051,2025-09-30 10:19:53-07:00,raquiraqoon,4,stop advertising glp1,"i am a lifetime premium member and overall i love this app and it has added a net positive to my life and weight management with pcos. this being said they started allowing pop up ads by default for glp1. i found out where you can turn this off in the settings, but i am unsure if non premium users can turn this off. it seems like a gross predatory practice to be advertising glp1s on a calorie tracking app. people use apps like these not only for weightloss but also for weight gain, advertising glp1 when you are not a doctor and do not know why the user is using the app seems irresponsible. i’ve never been a fan of medical advertising in general, but it seems even more like a conflict of interest to be advertising this on the app."
13205457172,2025-09-30 09:43:27-07:00,brandonbochicchio1,5,great app,"it’s very easy to use, and log daily intake with"
13205022368,2025-09-30 07:52:26-07:00,bella3941,1,if you love ads,"if you love ads after every single item ad, this app is for you - otherwise run!!"
13204578665,2025-09-30 06:01:28-07:00,megn444,5,i’m on day 250,"this app has helped me to stay on track. i’m mindful of what i eat, i’ve been working out. i like seeing the macros and the number on the scale go down. i used my fitness pal for years but didn’t like it as much as lose it. i paid for the permanent premium and i love that! no monthly bills, no annual bill and it’s so easy to use."
13204562155,2025-09-30 05:57:15-07:00,bobm2,3,"it's the ""tim the tool-man"" of  weight apps","i needed a way to log my meals and daily weight - this app certainly does that. if you don't get confused. it's like buying a swiss army knife for the knife, and 2-3 other must-have tools - that instead has two dozen tools on it - more bulk than you probably really needed. problem is the u-i is.... confusing - at least to me. it should be easy to drill down to the most basic of weight tools - and it's not. log my weight, log my meals, add new portion descriptions to enable rapid #2 - those three should be simple and top level tasks - not buried under other app task menu choices.

if it had a simple way to do the above three tasks i wanted i'd give it 5 stars - as it is it feels like buying a (say) hummer to drive 5 miles to church and shopping every day."
